Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access,URL,Keywords,Language,Pages,Actions
"Reporting experiments to satisfy professionals’ information needs","Although the aim of empirical software engineering is to provide evidence for selecting the appropriate technology, it appears that there is a lack of recognition of this work in industry. Results from empirical research only rarely seem to find their way to company decision makers. If information relevant for software managers is provided in reports on experiments, such reports can be considered as a source of information for them when they are faced with making decisions about the selection of software engineering technologies. To bridge this communication gap between researchers and professionals, we propose characterizing the information needs of software managers in order to show empirical software engineering researchers which information is relevant for decision-making and thus enable them to make this information available. We empirically investigated decision makers’ information needs to identify which information they need to judge the appropriateness and impact of a software technology. We empirically developed a model that characterizes these needs. To ensure that researchers provide relevant information when reporting results from experiments, we extended existing reporting guidelines accordingly. We performed an experiment to evaluate our model with regard to its effectiveness. Software managers who read an experiment report according to the proposed model judged the technology’s appropriateness significantly better than those reading a report about the same experiment that did not explicitly address their information needs. Our research shows that information regarding a technology, the context in which it is supposed to work, and most importantly, the impact of this technology on development costs and schedule as well as on product quality is crucial for decision makers.","Andreas Jedlitschka; Natalia Juristo Juzgado; H. D. Rombach","2014","Empirical Software Engineering","10.1007/s10664-013-9268-6","34","-","https://doi.org/10.1007/s10664-013-9268-6","","-","-","Include"
"To use or not to use? SDM utilisation in the development of LMS in South Africa","Purpose – The purpose of this study was to determine if Systems Development Methodologies (SDMs) are being utilised effectively in the development of Learning Management Systems (LMSs) in South Africa. With e-learning being a critical component of modern educational systems, it has become essential to ensure that LMSs of a high standard are being developed. In the field of SDMs, much research has been done and the value of SDMs is proven and documented. To enhance the chances of developing LMSs of outstanding quality, it is crucial that SDMs are applied efficiently, as they can have a significant impact on the development process. Design/methodology/approach – A positivistic research approach was followed. By utilising a survey as the main research method, quantitative data were generated. By statistically analysing the dataset, meaningful results were obtained. Findings – This study shed some light on how LMS procurement and development is being done in South Africa and revealed that the use of open-source systems currently exceeds the use of proprietary systems. The results of the research showed that SDMs (e.g. Rapid Application Development) are being used effectively in the development of e-learning systems. Strong relationships exist between many of the SDM factors identified (e.g. performance expectancy and the perceived support of the methodology) and the quality and productivity of the development process. This, in turn, has a strong influence on the impact SDMs have on the quality of LMSs. Originality/value – The study made a contribution to the discipline of information systems and, more specifically, LMSs, by providing insights with regard to the factors affecting the use and effectiveness of SDMs in developing LMSs. As far as could be ascertained, this study generated the first empirical data on the procurement and development of LMSs in South Africa.","K. V. Aswegen; Magda Huisman; E. Taylor","2014","Interactive Technology and Smart Education","10.1108/itse-09-2014-0026","1","false","https://doi.org/10.1108/itse-09-2014-0026","Learning Management; Computer science; Originality; Expectancy theory; Quality (philosophy); Process (computing); Knowledge management; Process management; Data science; Business","en","-","Include"
"Bridging the gap: SE technology transfer into practice: study design and preliminary results","Background: Particularly during and after research projects, technology transfer into practice plays an important role for academia to get technologies into use and for industry to improve their development. Objective: Our goal was to gain more and current knowledge about how technology transfer from software engineering (SE) research into industrial practice is accomplished best and how to measure the effectiveness of this transfer. Method: We conducted a study in the context of two German research projects, covering many different organizations from industry and academia. Results: This paper presents the design of the study and the survey performed. After introducing the concept of technology transfer we used and adapted, we present preliminary results. Conclusions: We observed that traditional means such as meetings or workshops are still the most widely used mediums for technology transfer in SE. We also discovered that, even though the duration of transfer depends on the object being transferred, the average duration is three years, which is far less than previously published (~18 years).","Philipp Diebold; A. Vetrò","2014","International Symposium on Empirical Software Engineering and Measurement","10.1145/2652524.2652552","13","false","https://doi.org/10.1145/2652524.2652552","Bridging (networking); Technology transfer; Context (archaeology); German; Duration (music); Computer science; Knowledge transfer; Engineering management; Knowledge management; Engineering","en","-","Include"
"Practical experiences in designing and conducting empirical studies in industry-academia collaboration","More and more, software engineering researchers are motivated to solve real problems that bring value to industry. An example is the industry-academia collaboration described in this paper among everis, an IT consulting firm, and the GESSI research group at UPC. The goal of this paper is twofold: to evaluate the success of the collaboration, and to report the experience with conducting empirical studies in the industry and lessons learnt. We evaluated our collaboration with an existing model for technology transfer, and performed a focus group discussion to identify challenges we have faced. After initialization and alignment of the collaboration, a high maturity level has been achieved: we have obtained the first results in form of proposed solutions, scientific publications, and pilots run in real projects. In spite of this positive progress, further initiatives need to be undertaken in the last phases of the collaboration to achieve high degrees of maturity in deployment impact, industry benefit and innovativeness. Evaluating the collaboration has been positive, since we identified the next steps to be taken to achieve a high degree of technology transfer and innovation dissemination. We think it is a needed step in industry-academia collaborations in order to improve their success.","Silverio Martínez-Fernández; Helena Martins Marques","2014","Conducting Empirical Studies in Industry","10.1145/2593690.2593696","16","true","https://doi.org/10.1145/2593690.2593696","Software deployment; Maturity (psychological); Capability Maturity Model; Order (exchange); Empirical research; Initialization; Computer science; Engineering management; Technology transfer; Value (mathematics)","en","-","Include"
"Recommendations to the Adoption of New Software Practices: A Case Study of Team Intention and Behavior in Three Software Companies","It is believed that people consider the implications of their actions and act based on a reasonable assessment of those implications. In this context, belief can be defined as a state of mind that embodies trust and confidence in something. So, behavior is driven by what is believed, by what is culturally assumed to be true about the world. Our work aims to study and characterize a belief system of software project teams to understand the beliefs underlying an intention or practice, and seek answers about how people progress from intention to behavior in software engineering environments. We applied a behavioral theory in terms of organizational and team level factors associated to beliefs about the software development practices. A set of interviews on origins, sources and impacts of beliefs on software practices was conducted with professionals from different project teams and companies. The results point out a strong influence of past experiences and repeated behavior on software development practices of project teams. Also, we list a set of practical recommendations for software companies that are dealing with the challenges of adopting new practices on software projects.","Carol Passos; D. Cruzes; Arthur Hayne; Manoel G. Mendonça","2013","2013 ACM / IEEE International Symposium on Empirical Software Engineering and Measurement","10.1109/esem.2013.31","4","false","https://doi.org/10.1109/esem.2013.31","Personal software process; Software development; Team software process; Knowledge management; Social software engineering; Set (abstract data type); Context (archaeology); Software; Software peer review; Computer science","en","-","Include"
"An Insight upon the Effect of Quality Assurance on the Cost of Software Development","The requirement of a software to be free from any kind of error,defect or fault is still a very big challenge to the IT industry.Software system's size, lifetime and complexity is continuously growing but there is often not much flexibility to deadlines and budget.Also,cost is the main factor which should be considered before developing a software project.A possible software failure may lead to millions of breakdown costs, loss of reputation, or even injure people.But,when this is done correctly,it helps in the successful completion of the project. This paper focusses on providing an insight upon finding the right balance between quality and quality assurance costs during different phases of software development life cycle which in turn would increase organizational economic status, as well as conceptual and economic perspective.","D. Manchanda; Akashdeep Singh; N. Garg","2013","International Journal of Computer Applications","10.5120/13919-1751","3","true","https://doi.org/10.5120/13919-1751","Computer science; Quality assurance; Software quality assurance; Quality (philosophy); Software; Software engineering; Engineering management; Software quality; Software development; Operations management","en","-","Include"
"Understanding acceptance of information system development and management methodologies by actual users: A review and assessment of existing literature","-","Kunal Mohan; F. Ahlemann","2013","International Journal of Information Management","10.1016/j.ijinfomgt.2013.06.003","27","false","https://doi.org/10.1016/j.ijinfomgt.2013.06.003","Psychology; Management science; Subject (documents); Cognition; Order (exchange); Knowledge management; Computer science; Applied psychology; Engineering ethics; Engineering","en","831-839","Include"
"Secure collaboration in onboarding","The process of onboarding a company is characterized by inter-enterprise collaboration between the acquiring and the acquired companies. Multiple cross-functional teams are formed to assimilate and integrate the processes, products, data, customers, and partners of the company under acquisition. Dynamic access control management in such inter-enterprise collaboration is the subject of this thesis. A problem in inter-enterprise collaboration in onboarding is that information assets shared by collaborating teams are not adequately protected. As a result, there is potential for accidental or malicious leakage of sensitive business information like the intellectual property, product roadmaps and strategy, customer lists etc. Also, the statically defined access control policies are not sufficient to address access control requirements of dynamic collaboration where there is a constant change in people, processes, and information assets in collaboration repository. This research proposes a new approach and model to integrate security in onboarding collaboration process. Research methods such as, literature review, field studies including direct experiential projects in onboarding and interviews with experts in Mergers and Acquisitions, and detailed data collection and analysis through surveys are used to identify the issues that need to be addressed in the onboarding process. Literature review enabled the identification of access control requirements from the perspective of statically defined policies and the need to determine access dynamically. From the field studies, it was deciphered that there is a need for a well-defined onboarding collaboration process. The data analysis and interpretation from the survey results provided insights into the needs for integrating security in all phases of onboarding collaboration. All these research methods essentially enabled identification of two key issues that this research addresses: 1) well-defined onboarding collaboration process and 2) building security in all phases of onboarding collaboration. A new approach and model called SCODA is developed to integrate security in all phases of onboarding collaboration. Onboarding collaboration process consists of four phases: create, operate, dissolve, and archive. These phases provide the basis for systematically addressing security and access control when the collaboration team is formed, while it is operating, when the team is dissolved after completing its tasks, and when shared information assets are archived. The research adapts role based access control (RBAC) and formally defines the enterprise, functional, and collaboration roles for making access control management decisions. New ideas are developed in trustbased access control management in dynamic collaboration. The change management aspects are also discussed. The SCODA model is validated and the refinements incorporated accordingly. This research contributed to both theory and practice of information security in general and access control in particular in the context of dynamic collaboration. It proposed a new approach of building security in, i.e. to integrate security in all phases of collaboration. In order to build security in, a new onboarding collaboration process is developed that is adaptable and customizable. It has also developed a new approach for trust based dynamic access control based on the new concepts of strong and weak trust relationships. These trust relationships are also adaptable and customizable. Finally, this research has potential for future research work in the design and implementation of multi-paradigm based enterprise security frameworks and interenterprise collaboration.","P. Chillakanti","2013","Middlesex University Research Repository (Middlesex University Of London)","10.1007/978-3-662-05195-5_13","-","-","https://doi.org/10.1007/978-3-662-05195-5_13","","en","125-126","Include"
"Empirical studies for innovation dissemination: ten years of experience","Context: technology transfer and innovation dissemination are key success factors for an enterprise. The shift to a new software technology determines inevitable changes to ingrained and familiar processes and at the same time leads to changes in practices, requires training and commitment on behalf of technical staff and management. As so, it cannot leave out neither organizational nor technical factors. Objective: our conjecture is that the process of innovation dissemination is facilitated if the new technology is supported by empirical evidence. In this sense, Empirical Software Engineering (ESE) serves as support for transferring an innovation, either it being a process or product, within production processes. Method: this paper investigates the relation between empirical studies and technical/organizational factors in order to identify the most suitable empirical study for disseminating an innovation in an enterprise. The analysis has been carried out with respect to empirical studies carried out during a ten year time span within the Software Engineering Research LABoratory (SERLAB), at the University of Bari. Results: the results point out that a critical factor in designing empirical studies is the quality model, i.e. measurement program defined by researchers during the study and used to collect relevant information on the effectiveness and efficacy of the innovation being transferred, in order to gain commitment on behalf of stakeholders who will finally adopt the technology. Conclusion: the study outcomes provide an empirically founded guideline that can be used when choosing the most appropriate approach for addressing an innovation.","M. T. Baldassarre; D. Caivano; G. Visaggio","2013","International Conference on Evaluation & Assessment in Software Engineering","10.1145/2460999.2461020","27","false","https://doi.org/10.1145/2460999.2461020","Dissemination; Empirical research; Knowledge management; Context (archaeology); Computer science; Innovation management; Process (computing); Product (mathematics); Order (exchange); Technology management","en","-","Include"
"MDD vs. traditional software development: A practitioner's subjective perspective","-","Yulkeidi Martínez; C. Cachero; S. Meliá","2013","Information and Software Technology","10.1016/j.infsof.2012.07.004","48","true","https://doi.org/10.1016/j.infsof.2012.07.004","Computer science; Software development; Compatibility (geochemistry); Software engineering; Software; Software development process; Empirical research; Perception; Usability; Technology acceptance model","en","189-200","Include"
"Setting quality targets for coming releases with QUPER: an industrial case study","-","Richard Berntsson-Svensson; Yuri Sprockel; B. Regnell; S. Brinkkemper","2012","Requirements Engineering","10.1007/s00766-011-0125-0","17","false","https://doi.org/10.1007/s00766-011-0125-0","Quality (philosophy); Computer science; Software quality control; Product (mathematics); Systems engineering; Relation (database); Risk analysis (engineering); Requirements analysis; New product development; Non-functional requirement","en","283-298","Include"
"Towards Envisaging Software Testing in a Pervasive Computing World","Pervasive computing has been increasingly finding its way into mainstream. Such paradigm has been fostering the development of systems that transparently interact with users, push context awareness further, and are able to deal with aspects of the user's day-to-day experience. Pervasive systems have been constantly and invisibly introduced in our everyday lives, moving us towards a pervasive computing world. Therefore, in this paper we argue that there is a need to prepare for the challenges that such paradigm will bring about. As dependability is a key feature in pervasive environments, we highlight some of these challenges in the light of software testing, which will play an important role on a plausible pervasive computing world. We address this topic by (i) illustrating challenges for testing pervasive software in an example scenario, (ii) describing our outlook on how the tool support for testing pervasive systems will interact with testers and practitioners alike, and (iii) outlining what research thrusts we need to emphasize in order to prepare for this change.","Vinicius H. S. Durelli; A. T. Endo; A. Simão; M. Delamaro","2012","Brazilian Symposium on Software Engineering","10.1109/sbes.2012.21","2","false","https://doi.org/10.1109/sbes.2012.21","Ubiquitous computing; Computer science; Dependability; Context-aware pervasive systems; Context (archaeology); Mainstream; Data science; End-user computing; Human–computer interaction; Paradigm shift","en","-","Include"
"A prototype tool for QUPER to support release planning of quality requirements","Release planning plays an important role for the success of a software product vendor that develops software-intensive incremental products. It is important that the software product is released to the market at the right time, and offers higher quality than the competitors. However, an especially challenging problem for a software product vendor is to set the right quality target in relation to future market demands and competitor products. In this paper, we present a prototype for QUPER, a special-purpose tool for supporting release planning of quality requirements. The applicability of the QUPER prototype tool is demonstrated through academic and industrial evaluations. The study showed that the tool provides a clear overview of the current market situation by the generated roadmaps, and to reach an alignment between practitioners, e.g., product managers and developers, of what level of quality is actually needed.","Richard Berntsson-Svensson; P. L. Parker; B. Regnell","2011","2011 Fifth International Workshop on Software Product Management (IWSPM)","10.1109/iwspm.2011.6046204","11","false","https://doi.org/10.1109/iwspm.2011.6046204","Computer science; Quality (philosophy); Systems engineering; Engineering; Philosophy; Epistemology","en","-","Include"
"Analyzing the Impact of Beliefs in Software Project Practices","Folklore and beliefs are strong in the software practitioners' community. Software engineering is a communication intensive activity. Software engineers are innovation driven and regularly use automated resources to share ideas, new paradigms and approaches to support and improve their practices. This information flow generates technical folklore and beliefs (that do not have a formal trial basis). Software engineers applying practices are influenced by these and they are inevitably taken on board in the adoption of a particular technology or practice. This paper presents an industrial case study, using a qualitative approach, to investigate the origins and impacts of beliefs on software development team practices. Its main contribution is on the understanding of creation and evolution of technical beliefs, and in studying its use for team practices improvement in the software engineering industry.","Carol Passos; A. Braun; D. Cruzes; Manoel G. Mendonça","2011","International Symposium on Empirical Software Engineering and Measurement","10.1109/esem.2011.63","46","-","https://doi.org/10.1109/esem.2011.63","","-","-","Include"
"A method for evaluating rigor and industrial relevance of technology evaluations","-","Martin Ivarsson; T. Gorschek","2011","Empirical Software Engineering","10.1007/s10664-010-9146-4","317","false","https://doi.org/10.1007/s10664-010-9146-4","Relevance (law); Field (mathematics); Computer science; Empirical research; Software; Management science; Engineering management; Engineering; Systems engineering; Data science","en","365-395","Include"
"System-specific static code analyses: a case study in the complex embedded systems domain","-","H. Kienle; J. Kraft; Thomas Nolte","2011","Software quality journal","10.1007/s11219-011-9138-7","12","false","https://doi.org/10.1007/s11219-011-9138-7","Computer science; Software engineering; Domain (mathematical analysis); Complement (music); Software system; Code (set theory); Static program analysis; Software; Quality (philosophy); Software quality","en","337-367","Include"
"Managing software evolution in embedded systems","NCT02370498.","Academisch Proefschrift; P. V. D. Spek","2010","Journal for ImmunoTherapy of Cancer","10.1136/jitc-2023-006920","5","-","https://doi.org/10.1136/jitc-2023-006920","","-","-","Include"
"MIS-PyME software measurement capability maturity model - Supporting the definition of software measurement programs and capability determination","-","María Díaz-Ley; Félix García; M. Piattini","2010","Advances in Engineering Software","10.1016/j.advengsoft.2010.06.007","42","false","https://doi.org/10.1016/j.advengsoft.2010.06.007","Capability Maturity Model; Maturity (psychological); Software measurement; Performance measurement; Metric (unit); LeanCMMI; Software metric; Service Integration Maturity Model; Software; Computer science","en","1223-1237","Include"
"Evaluating a model of software managers' information needs: an experiment","Background: The identification of alternative technologies - which is one step of the formal decision-making process -- results in a judgment on whether a technology is considered as a candidate for the further decision-making process. A model has been proposed that aims at improving the delivery of relevant information from ESE research to software managers.","Andreas Jedlitschka","2010","International Symposium on Empirical Software Engineering and Measurement","10.1145/1852786.1852812","11","false","https://doi.org/10.1145/1852786.1852812","Computer science; Identification (biology); Process (computing); Software; Knowledge management; Software engineering; Data science; Process management; Engineering; Botany","en","-","Include"
"Early Empirical Assessment of the Practical Value of GQM+Strategies","-","Vladimir Mandic; L. Harjumaa; Jouni Markkula; M. Oivo","2010","International Conference on the Software Process","10.1007/978-3-642-14347-2_3","10","false","https://doi.org/10.1007/978-3-642-14347-2_3","Computer science; Empirical research; Management science; Taxonomy (biology); Value (mathematics); Knowledge management; Order (exchange); Software; Cognition; Process management","en","14-25","Include"
"Towards modeling guidelines for capturing the cost of improving software product quality in release planning","Quality requirements complement functional requirements with information on the target quality levels of software functions or emergent system quality aspects. In release planning the allocation of development effort in further investments into product enhancements, new or enhanced functions are competing with quality improvements for limited resources. When setting balanced quality targets for development of coming releases, the estimated costs of improved software quality is needed as a basis for decisions. In this paper, we present initial results from an industrial evaluation of modeling guidelines for the Cost View in the QUality PERformance (QUPER) model. The initial results indicate the feasibility of the proposed modeling approach to cost estimation of quality requirements in QUPER, but further validation is needed.","Richard Berntsson-Svensson; B. Regnell; A. Aurum","2010","International Conference on Product Focused Software Process Improvement","10.1145/1961258.1961263","4","false","https://doi.org/10.1145/1961258.1961263","Quality (philosophy); Computer science; Software quality control; Software quality; Reliability engineering; Risk analysis (engineering); Product (mathematics); Complement (music); Quality costs; Software","en","-","Include"
"A modeling language's evolution driven by tight interaction between academia and industry","Domain specific languages play an important role in model-driven engineering of software-intensive industrial systems. A rich body of knowledge exists on the development of languages, modeling environments, and transformation systems. The understanding of architectural choices for combining these parts into a feasible solution, however, is not particularly deep. We report on an endeavor in the realm of a technology transfer process from academia to industry, where we encountered unexpected influences of the architecture on the modeling language. By examining the evolution of our language and its programming interface, we show that these influences mainly stemmed from practical considerations; for identifying these early on, tight interaction between our research lab and the industrial partner was key. In addition, we share insights into the practice of cooperating with industry by presenting essential lessons we learned.","Thomas Aschauer; G. Dauenhauer; W. Pree","2010","2010 ACM/IEEE 32nd International Conference on Software Engineering","10.1145/1810295.1810304","13","false","https://doi.org/10.1145/1810295.1810304","Computer science; Domain (mathematical analysis); Model transformation; Realm; Process (computing); Software engineering; Modeling language; Architecture; Knowledge management; Software","en","-","Include"
"Design science methodology: principles and practice","Design scientists have to balance the demands of methodological rigor that they share with purely curiosity-driven scientists, with the demands of practical utility that they share with utility-driven engineers. Balancing these conflicting demands can be conceptually complex and may lead to methodological mistakes. For example, treating a design question as an empirical research question may lead to researcher to omit the identification of the practical problem to solve, to omit the identification of stakeholder-motivated evaluation criteria, or to omit trade-off and sensitivity analysis. This tutorial aims to clear up this methodological mist in the case of software engineering (SE) research.","R. Wieringa","2010","2010 ACM/IEEE 32nd International Conference on Software Engineering","10.1145/1810295.1810446","66","false","https://doi.org/10.1145/1810295.1810446","Computer science; Identification (biology); Management science; Curiosity; Design science; Lead (geology); Empirical research; Risk analysis (engineering); Data science; Knowledge management","en","-","Include"
"Contributions to Software Engineering and to the Development and Deployment of International Software Engineering Standards for Very Small Entities. (Contributions au génie logiciel et au développement et déploiement de normes internationales en génie logiciel pour de très petites organisations)","-","Claude Y. Laporte","2009","Revue de l'Electricité et de l'Electronique","10.3845/ree.1995.011","14","-","https://doi.org/10.3845/ree.1995.011","","fr","63","Include"
"Empirical results from the transformation of a large commercial technical computing environment","Technical computing has unique requirements which are exemplified by factors such as: an extreme focus on run-time performance, a high degree of responsiveness to the customer base, a continued focus on innovation, concurrent support on multiple computing platforms and most importantly, a very limited set of deep subject matter experts who have the skills to build the solution. Exacerbating the above issues is the fact that the field has traditionally seen a great deal of mergers and acquisition activity which leads quickly to an accumulation of disjoint software development systems. This paper describes a detailed case study built within a leading technical computing company which achieved significant success by focusing relentlessly on enhancing the productivity of the individual developer. The work was driven by the author as the general manager of the organization, and measured results of the transformation will be presented in this paper.","R. Razdan; S. Esposito; J. Lawrence; Peter Conner","2009","International Symposium on Empirical Software Engineering and Measurement","10.1109/esem.2009.5316000","1","false","https://doi.org/10.1109/esem.2009.5316000","Computer science; Field (mathematics); Disjoint sets; Focus (optics); Set (abstract data type); Productivity; Software engineering; Software; Customer base; Data science","en","-","Include"
"Technology transfer decision support in requirements engineering research: a systematic review of REj","-","Martin Ivarsson; T. Gorschek","2009","Requirements Engineering","10.1007/s00766-009-0080-1","101","false","https://doi.org/10.1007/s00766-009-0080-1","Technology transfer; Engineering management; Field (mathematics); Engineering; Decision support system; Scale (ratio); Computer science; Emerging technologies; Systems engineering; Management science","en","155-175","Include"
"Software engineering technology innovation - Turning research results into industrial success","-","Teade Punter; R. Krikhaar; R. Bril","2009","Journal of Systems and Software","10.1016/j.jss.2008.12.035","17","false","https://doi.org/10.1016/j.jss.2008.12.035","Vendor; Process (computing); Technology transfer; Engineering management; Engineering; Relevance (law); Competitive advantage; Technology management; Software; Manufacturing engineering","en","993-1003","Include"
"Training students to be innovative information systems developers: synergizing project-based learning with problem-based learning","The competitive nature of today's business environment has made it necessary for educators to inculcate in our students a sense of innovativeness in Information Systems (IS) development. While working on real-world projects presents the most ideal opportunity to achieve this objective, it is not always possible to gain access to them. This paper proposes how the case study pedagogy using problem-based learning can be synergized with project-based learning to provide a feasible alternative. An integrative research model based on the IS development methodology acceptance theories is used to investigate the usefulness, satisfaction and acceptance of the proposed business innovation process.","Wee-Kek Tan; H. Teo","2009","SIGMIS CPR '09","10.1145/1542130.1542136","5","false","https://doi.org/10.1145/1542130.1542136","Knowledge management; Computer science; Process (computing); Engineering management; Ideal (ethics); Process management; Engineering; Operating system; Epistemology; Philosophy","en","-","Include"
"Acceptance of agile methodologies: A critical review and conceptual framework","-","F. Chan; J. Thong","2009","Decision Support Systems","10.1016/j.dss.2008.11.009","279","false","https://doi.org/10.1016/j.dss.2008.11.009","Agile software development; Agile Unified Process; Software deployment; Agile usability engineering; Process management; Computer science; Extant taxon; Process (computing); Conceptual framework; Knowledge management","en","803-814","Include"
"Implementing a software measurement program in small and medium enterprises: a suitable framework","The successful implementation of software measurement programs is not an easy task. Software measurement program implementations sometimes fail, and this failure is frequently caused by their definition: the measurement program does not provide the required information, the data required are difficult to obtain and so on. The definition of measurement programs is even less encouraging in small and medium enterprises (SMEs), since most of the outstanding measurement program models are not suited to these types of companies. Additionally, the literature provides few cases of measurement program implementation, which could be used as a source of reference for good practices through which to successfully perform these activities. A measurement program definition framework suited to SMEs called MIS-PyME is used to implement a measurement program in the software development and maintenance department of a medium company. The result of this measurement program and the good practices detected from this experience are expounded, along with the benefits obtained using MIS-PyME in contrast to our previous experiences of using the goal question indicator metric.","María Díaz-Ley; Félix García; M. Piattini","2008","IET Software","10.1049/iet-sen:20080026","38","false","https://doi.org/10.1049/iet-sen:20080026","Implementation; Computer science; Software; Metric (unit); Software metric; Software engineering; Task (project management); Software measurement; Software development; Measure (data warehouse)","en","-","Include"
"A survey of software project managers on software process change","Software project managers play an important role in selecting their software development process. In this study we conducted a survey of software project managers about software process change. The result of the survey revealed several factors affecting this type of decision making. It also revealed critical issues in software development projects. In particular, the findings point to the importance of a piloting strategy in technology transfer, as well as the importance of highlighting cost, quality, and schedule information in reporting evidence of a new technique's effectiveness. We expect that the findings of this study could facilitate research on technology transfer and adoption.","Yuepu Guo; C. Seaman","2008","International Symposium on Empirical Software Engineering and Measurement","10.1145/1414004.1414046","10","false","https://doi.org/10.1145/1414004.1414046","Software project management; Personal software process; Team software process; Software development; Schedule; Software development process; Computer science; Process management; Software peer review; Software","en","-","Include"
"Design Science, Engineering Science and Requirements Engineering","For several decades there has been a debate in the computing sciences about the relative roles of design and empirical research, and about the contribution of design and research methodology to the relevance of research results. In this minitutorial we review this debate and compare it with evidence about the relation between design and research in the history of science and technology. Our review shows that research and design are separate but concurrent activities, and that relevance of research results depends on problem setting rather than on rigorous methods. We argue that rigorous scientific methods separate design from research, and we give simple model for how to do this in a problem-driven way.","R. Wieringa; J. Heerkens","2008","IEEE International Requirements Engineering Conference","10.1109/re.2008.63","13","true","https://doi.org/10.1109/re.2008.63","Relevance (law); Design science; Computer science; Management science; Relation (database); Science and engineering; Research design; Engineering ethics; Data science; Knowledge management","en","-","Include"
"Evaluating Structural Criteria for Testing Mobile Code","Code mobility has become an attractive alternative to the implementation of distributed systems. In the last few years much effort has been made in the study and development of techniques to support the development of software based on mobile code. In spite of this effort, there is still a lack of criteria and environments to test mobile software. In this paper we investigate the use of control and data flow based criteria for testing software with mobility features. A testing tool named JaBUTi/MA supports coverage analysis based on client triggered and server triggered instrumentation. A case study is presented to assess the use of JaBUTi/MA on mobile agents.","M. Delamaro; A. Vincenzi; J. Maldonado","2008","International Conference on Evaluation & Assessment in Software Engineering","10.14236/ewic/ease2008.16","-","-","https://doi.org/10.14236/ewic/ease2008.16","","-","-","Include"
"MIS-PyME Software Measurement Maturity Model-Supporting the Definition of Software Measurement Programs","-","María Díaz-Ley; Félix García; M. Piattini","2008","International Conference on Product Focused Software Process Improvement","10.1007/978-3-540-69566-0_5","19","false","https://doi.org/10.1007/978-3-540-69566-0_5","Maturity (psychological); Capability Maturity Model; Computer science; Metric (unit); Software measurement; Software metric; Software; Performance measurement; LeanCMMI; Software engineering","en","19-33","Include"
"3-step knowledge transition","Software Engineering is developing very fast. To keep up with the changes, software companies need effective methods of knowledge transfer. In the paper a 3-step approach to knowledge transfer, called Technical Drama, is presented. The paper is focused on transferring knowledge concerning architecture evaluation, but the approach could also be applied to transferring knowledge concerning inspections, testing etc. It is claimed in the paper that the Technical Drama can be useful in the industrial context (two case studies are described) as well as at university (then a kind of software studio is required).","B. Michalik; J. Nawrocki; Mirosław Ochodek","2008","2008 ACM/IEEE 30th International Conference on Software Engineering","10.1145/1368088.1368193","5","false","https://doi.org/10.1145/1368088.1368193","Computer science; Software engineering; Context (archaeology); Knowledge transfer; Software; Architecture; Knowledge engineering; Knowledge-based systems; Software architecture; Systems engineering","en","-","Include"
"Guide to Advanced Empirical Software Engineering","-","F. Shull; J. Singer; Dag I.K. Sjøberg","2007","-","10.1007/978-1-84800-044-5","899","false","https://doi.org/10.1007/978-1-84800-044-5","Software engineering; Empirical research; Software; Software development; Computer science; Engineering management; Engineering; Programming language; Philosophy; Epistemology","en","-","Include"
"On the Sustained Use of a Test-Driven Development Practice at IBM","Test-driven development (TDD) is an agile practice that is widely accepted and advocated by most agile methods and methodologists. In this paper, we report on a post hoc analysis of the results of an IBM team who has sustained use of TDD for five years and over ten releases of a Java-implemented product. The team worked from a design and wrote tests incrementally before or while they wrote code and, in the process, developed a significant asset of automated tests. The IBM team realized sustained quality improvement relative to a pre-TDD project and consistently had defect density below industry standards. As a result, our data indicate that the TDD practice can aid in the production of high quality products. This quality improvement would compensate for the moderate perceived productivity losses. Additionally, our data indicates that the use of TDD may decrease the degree to which code complexity increases as software ages, as measured by cyclomatic complexity metric.","J. Sanchez; L. Williams; E. M. Maximilien","2007","Agile Conference","10.1109/agile.2007.43","61","false","https://doi.org/10.1109/agile.2007.43","Cyclomatic complexity; Agile software development; IBM; Computer science; Test-driven development; Software engineering; Scrum; Java; Software quality; Quality (philosophy)","en","-","Include"
"Research Collaborations between Academia and Industry","The rapid and complex research and innovation processes require high-tech companies to optimize their technology transfer processes. It is clearly not sufficient to solely rely on internal R&D; strategic cooperations with external research centers of excellence are needed in order to compete in the global innovation market. Candidates for such strategic cooperations are universities, research institutions, and technology focused consulting companies. Key challenge is the effective integration of external competences into the company-internal innovation processes. In this paper we present a survey of the state-of-the-art in technology transfer, high-light promising success cases for the future, and derive success criteria for successful technology transfer in a global world. The cooperation between Siemens and Fraunhofer IESE is presented as a concrete example.","H. D. Rombach; R. Achatz","2007","Future of Software Engineering (FOSE '07)","10.1109/fose.2007.16","39","false","https://doi.org/10.1109/fose.2007.16","Technology transfer; Excellence; Siemens; Order (exchange); Business; Innovation management; Knowledge management; Key (lock); Engineering management; Process management","en","-","Include"
