DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Measuring benefits from big data analytics projects: an action research study,"M. Jensen, John Stouby Persson, P. Nielsen",Information Systems and E-Business Management,2023,(missing abstract),254473700,6,83,(missing PubMedId)
(missing DOI),The Analogue Disruption of Digitalization - The Local Bases of the Hospitality Industry in a Global Economy,"Karin Högberg, Elin Wihlborg, U. Snis, Lars Svensson",Hawaii International Conference on System Sciences,2022,"There are vital challenges for organization undergoing digital transformation, especially those that rely more and more on the ever-evolving platform economy. The hotel industry faces key problems as they need to have the power to control and augment the value chain supported by an ongoing access to accurate data (such as online customer behavior). We discuss on a conceptual level how such disruptive economic changes appear in the analogue and physical practice, at place in hotel organisations. We explore the practice of analogue disruption as it emerges as struggles and discontinuities that may not bring the expected flow of value to the business. This paper aims to examine how analogue disruptions takes place due to the ongoing digitalization in the hotel sector through the platform economy. We here apply a qualitative analysis with interpretative methodologies, that will open for further knowledge and insights on the analogue disruption of digital transformation.",254106750,0,56,(missing PubMedId)
(missing DOI),Clinical research from information systems practice,"R. Baskerville, J. Brocke, L. Mathiassen, H. Scheepers",European Journal of Information Systems,2023,"ABSTRACT An increasing presence of practitioners with doctoral degrees in Information Systems and related disciplines holds promise to advance Information Systems research. The prospect is to gain more knowledge from the practical experience of developing, using, and managing information systems in context. To scientifically capitalise on this opportunity, this EJIS special issue introduces the research genre of “Information Systems Clinical Research”. The genre presents knowledge generated from practitioner-researcher interventions to achieve desired outcomes in information systems development, use, and management practice contexts. In this editorial, we introduce and conceptualise the genre; we present a research framework that defines its four key elements; and we discuss how to address its key challenges in research projects. As a result, we derive ten criteria for rigorous Information Systems Clinical Research and provide examples on how the articles published in the special issue have addressed these criteria. We conclude with a call to further advance clinical research as an important part of the Information Systems discipline.",253354440,22,54,(missing PubMedId)
(missing DOI),Building data management capabilities to address data protection regulations: Learnings from EU-GDPR,"Clément Labadie, Christine Legner",Journal of Information and Technology,2022,"The European Union’s General Data Protection Regulation (EU-GDPR) has initiated a paradigm shift in data protection toward greater choice and sovereignty for individuals and more accountability for organizations. Its strict rules have inspired data protection regulations in other parts of the world. However, many organizations are facing difficulty complying with the EU-GDPR: these new types of data protection regulations cannot be addressed by an adaptation of contractual frameworks, but require a fundamental reconceptualization of how companies store and process personal data on an enterprise-wide level. In this paper, we introduce the resource-based view as a theoretical lens to explain the lengthy trajectories towards compliance and argue that these regulations require companies to build dedicated, enterprise-wide data management capabilities. Following a design science research approach, we propose a theoretically and empirically grounded capability model for the EU-GDPR that integrates the interpretation of legal texts, findings from EU-GDPR-related publications, and practical insights from focus groups with experts from 22 companies and four EU-GDPR projects. Our study advances interdisciplinary research at the intersection between IS and law: First, the proposed capability model adds to the regulatory compliance management literature by connecting abstract compliance requirements to three groups of capabilities and the resources required for their implementation, and second, it provides an enterprise-wide perspective that integrates and extends the fragmented body of research on EU-GDPR. Practitioners may use the capability model to assess their current status and set up systematic approaches toward compliance with an increasing number of data protection regulations.",252742904,52,115,(missing PubMedId)
(missing DOI),Predicting coauthorship using bibliographic network embedding,"Yongjun Zhu, L. Quan, Pei-Ying Chen, Meen Chul Kim, Chao Che",Journal of the Association for Information Science and Technology,2022,"Coauthorship prediction applies predictive analytics to bibliographic data to predict authors who are highly likely to be coauthors. In this study, we propose an approach for coauthorship prediction based on bibliographic network embedding through a graph‐based bibliographic data model that can be used to model common bibliographic data, including papers, terms, sources, authors, departments, research interests, universities, and countries. A real‐world dataset released by AMiner that includes more than 2 million papers, 8 million citations, and 1.7 million authors were integrated into a large bibliographic network using the proposed bibliographic data model. Translation‐based methods were applied to the entities and relationships to generate their low‐dimensional embeddings while preserving their connectivity information in the original bibliographic network. We applied machine learning algorithms to embeddings that represent the coauthorship relationships of the two authors and achieved high prediction results. The reference model, which is the combination of a network embedding size of 100, the most basic translation‐based method, and a gradient boosting method achieved an F1 score of 0.9 and even higher scores are obtainable with different embedding sizes and more advanced embedding methods. Thus, the strengths of the proposed approach lie in its customizable components under a unified framework.",251951113,7,74,(missing PubMedId)
(missing DOI),Resource Optimisation in Cloud Computing: Comparative Study of Algorithms Applied to Recommendations in a Big Data Analysis Architecture,"Aristide Ndayikengurukiye, Abderrahmane Ez-Zahout, Akou Aboubakr, Youssef Charkaoui, Omary Fouzia","Journal of Automation, Mobile Robotics and Intelligent Systems",2022,"Recommender systems (RS) have emerged as a means of providing relevant content to users, whether in social networking, health, education, or elections. Furthermore, with the rapid development of cloud computing, Big Data, and the Internet of Things (IoT), the component of all this is that elections are controlled by open and accountable, neutral, and autonomous election management bodies. The use of technology in voting procedures can make them faster, more efficient, and less susceptible to security breaches. Technology can ensure the security of every vote, better and faster automatic counting and tallying, and much greater accuracy. The election data were combined by different websites and applications. In addition, it was interpreted using many recommendation algorithms such as Machine Learning Algorithms, Vector Representation Algorithms, Latent Factor Model Algorithms, and Neighbourhood Methods and shared with the election management bodies to provide appropriate recommendations. In this paper, we conduct a comparative study of the algorithms applied in the recommendations of Big data architectures. The results show us that the K-NN model works best with an accuracy of 96%. In addition, we provided the best recommendation system is the hybrid recommendation combined by content-based filtering and collaborative filtering uses similarities between users and items.",251812395,8,34,(missing PubMedId)
(missing DOI),Interventionist Research,"Pernille Bjørn, Maria Menendez-Blanco, Valeria Borsotti, Pernille Bjørn, Maria Menendez-Blanco, Valeria Borsotti",Springer eBooks,2022,"Abstract FemTech.dk is fundamentally about combining research and interventions with a focus on making long-term change. Inspired by sociotechnical design (Mumford 2006) and action research (Bjørn and Boulus 2011; Bjørn and Boulus-Rødje 2015), FemTech.dk follows two main interlinked paths: (1) unpacking and understanding the challenges related to unbalanced gender representation in computer science, and (2) intervening and extending the field of computer science to allow for multiple, diverse agendas. In this way, the overall methodological approach is characterized as action research.",251474918,0,42,(missing PubMedId)
(missing DOI),Motivations for employee computer crime: understanding and addressing workplace disgruntlement through the application of organisational justice,"Robert Willison, Merrill Warkentin",(missing journal),2009,"Within the IS security field, employee computer crime has received increased attention. Indeed, a number of researchers have focused their attention on the behaviour of the 'insider', both prior to and during the perpetration. Despite this, there is currently an absence of academic IS insight into the problem of workplace disgruntlement and how this may motivate employee computer crime. To address this deficiency, this paper draws on a body of knowledge called 'organisational justice', which examines how perceptions of fairness are formed. Under this umbrella term are four constructs which relate to different organisational phenomena and influence employees' fairness perceptions. It is believed that these constructs, entitled distributive, procedural, interactional and informational justice, and the theories which underpin them, can not only assist in understanding, but also in mitigating disgruntlement. To illustrate this, a case of employee computer sabotage is analysed, highlighting which forms of organisational justice occurred, and how they could have been addressed. The discussion section notes how mitigating disgruntlement provides a new area for safeguard implementation, with the final part of the paper discussing the conclusions and potential for future research.",249915172,31,47,(missing PubMedId)
(missing DOI),Analysing Knowledge Flows as a Prerequisite to Improve Systems Development Practice,"B. Hansen, K. Kautz",ECIS,2004,"Knowledge is a key parameter for a modern company’s survival. The ability to continuously become better at producing services relies on the organisation’s abilities to develop and utilise the intellectual competences of its employees. Systems and software development organisations are no exception here. In this paper we present the concept of knowledge flow and an accompanying mapping technique to analyze knowledge management related issues as a prerequisite to improving systems development practice. Developed in an action research project, we demonstrate the benefits of the concept and the technique in a concrete case and point to further research and application challenges.",248558829,6,46,(missing PubMedId)
(missing DOI),A DESIGN SCIENCE APPROACH FOR DEVELOPING INFORMATION SYSTEMS RESEARCH INSTRUMENTS,"T. McLaren, P. Buijs",(missing journal),2010,"The dominant approach to developing research instruments in information systems research has focused on assessing how well the instrument captures the construct (its validity and reliability), rather than how useful the instrument is for guiding practice (its practical utility). This paper outlines how an iterative design science research approach, with its emphasis on evaluating the utility of prototype artifacts, is well suited to developing field-tested and theoretically grounded research instruments that are useful and understandable to both researchers and practitioners. This focus on the practical utility of an instrument also provides researchers with results that can be more readily corroborated, thus improving the quality and usefulness of the research findings. To illustrate the design science approach to instrument development, we describe the development of action-oriented research instruments in two recent studies that focused on evaluation methods for information systems.",247895175,10,24,(missing PubMedId)
(missing DOI),P RAGMATIC A PPROACH IN IS P ROJECTS G ROUNDED ON R ECOGNISED F RAMEWORKS,"Recognised Frameworks, R. Halonen",(missing journal),2016,"This paper stands for IS projects that are carried out practionally, using action-oriented approach and by grounding on recognised frameworks to serve as a foundation for better IS research. We introduce two different IS projects that were implemented to serve both practice and science. The projects differed in several aspects but despite that, both of them were carried out with the help of deep involvement and action-oriented approach that enabled the researcher to gain a full concept of the encounters and details in the IS projects. Thus, the research results are not dependent on interpretation and assumptions that should be made to fulfil apertures or blanks between observations. As one IS project was implemented keeping in mind a framework recognised in prior research, the other IS project was put into practice without any prior model or beforehand planning. With these two different cases we demonstrate the power of pragmatic approach when doing IS research.",247760309,0,14,(missing PubMedId)
(missing DOI),The Need for Systems Development Capability in Design Science Research – Investigating the Role of An Innovation Lab as Part of The Academy,"Stefan Cronholm, Hannes Göbel, M. Lind, Daniel Rudmark",(missing journal),2009,"Information systems as an artefact-oriented discipline require a strong interaction between researches, developers and users regarding, design of, development of, and the study of the use of digital artefacts in social settings. During latter years performing research in a design science research spirit has gained increasing interest. In larger scale design research endeavours access to systems development capabilities becomes necessary. Such a unit, an InnovationLab, was established in 2006 in a university setting in Sweden. In this paper we are investigating the five years of experience from running this InnovationLab. Our findings point to an innovation lab being valuable for research in general and especially for design science research. However, in order to balance the business of an innovation lab it will be necessary to provide services for other stakeholders (such as administrative units, teachers, and students) as means for developing systems development capability aimed for supporting researchers.",247713321,2,29,(missing PubMedId)
(missing DOI),Berufsbegleitende weiterbildung im spannungsfeld von wissenschaft und IT-beratung: state-of-the-art und entwicklung eines vorgehensmodells,"M. Boehm, C. Stolze, O. Thomas",GI-Jahrestagung,2010,"In diesem Beitrag wird anhand eines integrierten Ansatzes zur berufsbegleitenden Weiterbildung die Möglichkeit einer engeren Zusammenarbeit von Wissenschaft und IT-Beratung aufgezeigt. Die Entwicklung beruht auf einer umfangreichen Literaturanalyse sowie einer State-of-the-Art-Erhebung von Angeboten der universitären Weiterbildung. Anschließend wird ein Vorgehensmodell für die Kooperation zwischen Wissenschaft und Praxis beschrieben. Schlussendlich wird aufgezeigt, dass gerade Wissenschaftler und IT-Berater voneinander profitieren können, um gemeinsam Trends zu erkennen, zu verstehen und zu analysieren.",246924015,0,35,(missing PubMedId)
(missing DOI),Value Network Transformation By Digital Service Innovation In The Vehicle Industry,"A. Akram, M. Åkesson",PACIS,2010,Advancement in digital technology is rapidly changing the contemporary landscape of business and associated networks for manufacturing firms. Many traditional physical products are now being embedd ...,246922323,12,173,(missing PubMedId)
(missing DOI),Managing Viewpoints: Maintenance Work in Sustainable Living Lab Research,"Corinna Ogonowski, G. Stevens, Jan Hess, D. Randall, V. Wulf",(missing journal),2017,"Living Labs are dynamic networks in which several stakeholders participate for various reasons and in which technical-oriented innovation emerges by bringing together these diverse perspectives. In this paper, we present a case study of a Living Lab that was set up in a publicly funded project to design home IT-solutions. In this context, we investigate practical management fostering cross-stakeholder interactions and relationships that facilitate consistent and continued collaboration in a Living Lab We analyzed the project documentation, emails, etc. and conducted semi-structured interviews with all participating stakeholders including industry, academia and involved users. Based on the generated data corpus we reconstructed the formation process of the Living Lab project as well as the diverse perspectives of the stakeholders and subsequently analyzed how they are connected with each other, which communication practices has been established and how long-term collaboration processes are managed and maintained to local needs and constraints of several actors. The analysis of the different viewpoints, nevertheless, uncovers asymmetries and some difficulties in achieving these aims. These are seldom discussed in literature and are negatively associated with strong user engagement. Our results suggest that a shift in traditional user perspectives is needed to realize the full potential of the Living Lab approach. In addition, our study reveals the emergence of an essential role that we define as Living Lab agents. Agents serve as facilitators within a Living Lab and undertake necessary (but often unrecognized) maintenance work for all stakeholders. The paper further discusses the possibility of systematizing this role and the opportunity to provide a Living Lab infrastructure as professional service for external clients.",246877237,0,79,(missing PubMedId)
(missing DOI),’ s repository of research publications and other research outputs Mediating boundaries between knowledge and knowing : ICT and R 4 D praxis Conference or Workshop Item,"N. Reichelt, Wallis, A. Sparrow, A. Hall, Maru",(missing journal),2016,"Research for development (R4D) praxis (theory-informed practical action) can be underpinned by the use of Information and Communication Technologies (ICTs) which, it is claimed, provide opportunities for knowledge working and sharing. Such a framing implicitly or explicitly constructs a boundary around knowledge as reified, or commodified – or at least able to be stabilized for a period of time (first-order knowledge). In contrast ‘third-generation knowledge’ emphasizes the social nature of learning and knowledge-making; this reframes knowledge as a negotiated social practice, thus constructing a different system boundary. This paper offers critical reflections on the use of a wiki as a data repository and mediating technical platform as part of innovating in R4D praxis. A sustainable social learning process was sought that fostered an emergent community of practice among biophysical and social researchers acting for the first time as R4D co-researchers . Over time the technologically mediated element of the learning system was judged to have failed. This inquiry asks: How can learning system design cultivate learning opportunities and respond to learning challenges in an online environment to support R4D practice? Confining critical reflection to the online learning experience alone ignores the wider context in which knowledge work took place; therefore the institutional setting is also considered .",246758047,0,37,(missing PubMedId)
(missing DOI),Aalborg Universitet Social Networks in Software Process Improvement,"Peter Axel, Anne Birgitte Bay",(missing journal),2008,"? Users may download and print one copy of any publication from the public portal for the purpose of private study or research. ? You may not further distribute the material or use it for any profit-making activity or commercial gain ? You may freely distribute the URL identifying the publication in the public portal ? Take down policy If you believe that this document breaches copyright please contact us at vbn@aub.aau.dk providing details, and we will remove access to the work immediately and investigate your claim.",246672256,0,51,(missing PubMedId)
(missing DOI),Groupware Integration in Virtual Learning Teams - A qualitative analysis based on the TAM-model,"Pernille Bjørn, Ada Scupola",IT Innovation for Adaptability and Competitiveness,2004,(missing abstract),245222809,4,65,(missing PubMedId)
(missing DOI),Closing the practice loop: Practice design research,"Göran Goldkuhla, Jonas Sjöströmb",(missing journal),2014,"There exist different types or genres of design science research (DSR) in information systems, like laboratory-oriented and practice-oriented DSR. This paper investigates different arguments for practice-oriented approach to DSR. It uses the research approach of practice research as a starting point and elaborates then a possible approach to practice-oriented DSR, labelled Practice Design Research (PDR). This approach addresses some unresolved issues in IS DSR like the roles of theorizing and evaluation. PDR consists of two inter-related subactivities: theorizing and situational design inquiry. The conduct of situational design inquiry is described as iterative cycles of 1) pre-evaluate, 2) plan & design, 3) test & intervene and 4) post-evaluate. These four sub-activities are described through iterative sub-cycles. The foundations of these iterative sub-activities/cycles in pragmatist philosophy and theory are expli-",244286399,5,50,(missing PubMedId)
(missing DOI),Aalborg Universitet Data Governance as a Collective Action Problem,"Benfeldt, John Stouby, Sabine Madsen",(missing journal),2018,"While governing data as an organizational asset has clear benefits, mobilizing an organization to implement data governance remains elusive for practitioners. On that account, this paper examines why governing data is difficult in local government organizations. Based on a literature review and an empirical case study, we establish the inherent challenges and build on the notion of collective action to theorize the problem of data governance. Following an engaged scholarship approach, we collect empirical material through six group interviews with 34 representatives from 13 different Danish municipalities. We extend existing data governance research with our problem triangle that identifies and explicates the complex relations between six distinct challenges: value, collaboration, capabilities, overview, practices, and politics. We demonstrate the value in theorizing data governance as a collective action problem and argue for the necessity of ensuring researchers and practitioners achieve a common understanding of the inherent challenges, as a first step towards developing data governance solutions that are viable in practice.",244264800,0,71,(missing PubMedId)
(missing DOI),"Designing for Digital Transformation. Co-Creating Services with Citizens and Industry: 15th International Conference on Design Science Research in Information Systems and Technology, DESRIST 2020, Kristiansand, Norway, December 2–4, 2020, Proceedings","S. Hofmann, Oliver Müller, M. Rossi",DESRIST,2019,(missing abstract),243853216,7,1095,(missing PubMedId)
(missing DOI),Digital Inclusion for Elderly Citizens for a Sustainable Society,"J. Holgersson, Eva Söderström, J. Rose",ECIS,2018,"In an increasingly digitalised society, participation becomes dependent on digital skills – the ability to understand and use the everyday Internet technologies that surround us. People who have di ...",242780742,15,33,(missing PubMedId)
(missing DOI),A Blueprint for Joint Research between Academia and Industry,"Petra Schubert, J. Fisher",Bled eConference,2008,"This paper suggests a blueprint for research initiatives between academia and industry. It is meant to stimulate the discussion of the benefits arising from such collaborative work between researchers in universities and practitioners in the field. We show how both rigour and relevance can be ensured in such a collaborative setting. The paper presents a generic model (the CBR Model), developed over eight years and successfully implemented in an existing longitudinal collaboration. The model consists of four different key areas (funding, topic, cooperation, interpretation) as well as three layers relating to time intervals ((yearly, medium term (3 years), long term). The model is designed to provide researchers with a guideline for setting up similar collaborative arrangements between researchers and industry partners.",242683010,5,14,(missing PubMedId)
(missing DOI),Consortium Research,"Hubert Österle, B. Otto",Bus. Inf. Syst. Eng.,2010,(missing abstract),242421472,119,66,(missing PubMedId)
(missing DOI),The Implementation of Inquiry-based Learning in the Organization of Students' Research Activities on Mathematics,"K. Vlasenko, O. Rovenska, I. Lovianova, O. Kondratyeva, V. Achkan, Yana Tkachenko, M. Shyshkina",Proceedings of the 1st Symposium on Advances in Educational Technology,2019,(missing abstract),242064573,7,42,(missing PubMedId)
(missing DOI),Re-negotiating protocols: a way to integrate groupware in collaborative learning settings,Pernille Rasmussen,ECIS,2002,"Research is being done within the Computer Supported Collaborative Learning community to investigate how to apply the approach of Problem Oriented Project Pedagogy in distance learning using groupware. Successful implementation of groupware in distributed collaborative settings is not without difficulties. Investigations of different problems are needed to find how to get distributed groups in educational settings to collaborate using groupware. This paper addresses the question: How do we successfully implement groupware in distributed groups in educational settings? The paper reports from an empirical action research study of four geographical distributed project groups within two different Master Education programs in Denmark, and argues that re-negotiating protocols for collaboration is essential for success with organizational implementation of groupware in distributed project groups.",240990511,23,23,(missing PubMedId)
(missing DOI),1 4 CULTIVATING RECALCITRANCE IN INFORMATION SYSTEMS RESEARCH,"Justine  Johnstone, Edgar A. Whitley, Gus  Hosein, Dasha  Klyachko, Carsten  Sørensen, Shirin  Madon",(missing journal),2000,"There is an ongoing debate about how to improve the quality of empirical research efforts in information systems. One of the persistent issues within the debate concerns the relative importance of social and technical aspects of an information system and how to study these different elements. Contemporary research within science and technology studies suggests that social science inquiries can learn from empirical enquiries within the natural sciences through the notion of recalcitrance in experimental subjects. The aim of this article is to conduct an initial exploration of the usefulness of these ideas in the context of empirical information systems research. The following three research methods are subjected to a first theoretical analysis: (1) longitudinal, interpretive case study; (2) quantitative case study; and (3) laboratory experiments. For each of the three methods, an example is studied together with reflections from the researchers conducting the particular study. It is concluded that although this does not represent a solution to all methodological problems, adopting the perspective of cultivating recalcitrance and designing research methods to Part Number: Title 2 include objectors provides an additional perspective, which can enrich and deepen the empirical work as well as further qualify the methodology discourse between researchers.",240962188,1,52,(missing PubMedId)
(missing DOI),AMethod for Researcher-Practitioner Collaboration in Design-Oriented,(missing authors),(missing journal),2009,"Hubert Österle, Boris Otto",240788734,0,55,(missing PubMedId)
(missing DOI),E MBRACING D IGITAL I NNOVATION IN I NCUMBENT F IRMS : H OW V OLVO C ARS M ANAGED C OMPETING C ONCERNS 1,F. Svahn,(missing journal),2016,"Past research provides instructive yet incomplete answers as to how incumbent firms can address competing concerns as they embrace digital innovation. In particular, it offers only partial explanations of why different concerns emerge, how they manifest, and how firms can manage them. In response, we present a longitudinal case study of Volvo Cars’connected car initiative. Combining extant literature with insights from the case, we argue that incumbent firms face four competing concerns—capability (existing versus requisite), focus (product versus process), collaboration (internal versus external), and governance (control versus flexibility)—and that these concerns are systemically interrelated. Firms must therefore manage these concerns cohesively by continuously balancing new opportunities and established practices.",240410727,0,71,(missing PubMedId)
(missing DOI),A push in the right direction Supporting spectators during the International Swedish Rally,"Senja Edvardssona, MattiasEsbjörnssonb",(missing journal),1999,"This paper explores the way push technology was used to support spectators during the International Swedish Rally, 2000. The Swedish Radio used SMS in their reports from the event, approximately they pushed 500 messages to each subscriber during the weekend. The messages contained information about the rally and the local traffic situation. The subscribers of the services were a selected group of spectators, equipped with the phone Nokia 7110. We have examined the spectators impression of the service provided. Problems experienced by spectators were; information overload mostly due to change of context, lack of support in the phone and naming conventions regarding headers as well as in some cases interpreting the meaning of content. On the stage the value of the information pushed, was high but the time available for perceiving it was limited. In this context broadcasting of information by push technology seems very promising.",240161903,1,10,(missing PubMedId)
(missing DOI),Situation awareness approach to context-aware case-based decision support,N. Nwiabu,(missing journal),2012,"Context-aware case-based decision support systems (CACBDSS) use the context of users as one of the features for similarity assessment to provide solutions to problems. The combination of a context-aware case-based reasoning (CBR) with general domain knowledge has been shown to improve similarity assessment, solving domain specific problems and problems of uncertain knowledge. Whilst these CBR approaches in context awareness address problems of incomplete data and domain specific problems, future problems that are situation-dependent cannot be anticipated due to lack of data by the CACBDSS to make predictions. Future problems can be predicted through situation awareness (SA), a psychological concept of knowing what is happening around you in order to know the future. The work conducted in this thesis explores the incorporation of SA to CACBDSS. It develops a framework to decouple the interface and underlying data model using an iterative research and design methodology. Two new approaches of using situation awareness to enhance CACBDSS are presented: (1) situation awareness as a problem identification component of CACBDSS (2) situation awareness for both problem identification and solving in CACBDSS. The first approach comprises of two distinct parts; SA, and CBR parts. The SA part understands the problem by using rules to interpret cues from the environment and users. The CBR part uses the knowledge from the SA part to provide solutions. The second approach is a fusion of the two technologies into a single case-based situation awareness (CBSA) model for situation awareness based on experience rather than rule, and problem solving predictions. The CBSA system perceives the users context and the environment and uses them to understand the current situation by retrieving similar past situations. The futures of new situations are predicted through knowledge of the history of similar past situations. Implementation of the two approaches in flow assurance control domain to predict the formation of hydrate shows improvements in both similarity assessment and problem solving predictions compared to CACBDSS without SA. Specifically, the second approach provides an improved decision support in scenarios where there are experienced situations. In the absence of experienced situations, the second approach offers more reliable solutions because of its rule-based capability. The adaptation of the user interface of the approaches to the current situation and the presentation of a reusable sequence of tasks in the situation reduces memory loads on operators. The integrated research-design methodology used in realising these approaches links theory and practice, thinking and doing, achieving practical as well as research objectives. The action research with practitioners provided the understanding of the domain activities, the social settings, resources, and goals of users. The user-centered design process ensures an understanding of the users. The agile development model ensures an iterative work, enables faster development of a functional prototype, which are more easily communicated and tested, thus giving better input for the next iteration.",240045764,9,187,(missing PubMedId)
(missing DOI),methods as,R. Halonen,(missing journal),2004,": This article discusses the importance of research methods in scientific information systems research. To limit the approach, the emphasis is laid on practice-driven research methods. While the nature of ‘research’ is dependent on research approach, this article focuses on qualitative research. In addition, the focus is not on research methods but their role in scientific research. Prior literature also reveals that qualitative research and quantitative research are not exclusive; instead, often the approaches are complementary. This article introduces three examples how research methods were used and how they influenced the output.",239846741,119,52,(missing PubMedId)
(missing DOI),Solution design as a heuristic for conducting explorative supply chain research,J. Holmström,(missing journal),2003,"The paper presents solutio n design as a heuristic for conducting explorative supply chain management research. The heuristic is based on the concepts of formulating technical norms and classification of innovation ideas. The technical norm is introduced from the philosophy of science. It is used as a tool to for formulating and testing research propositions in supply chain management. The technical norm is used together with a classification of innovation ideas based on the the source of the innovation idea itself. The idea classification was initially developed for analyzing the failure risk of new product innovation ideas, but is here adopted to structure the formulation process of new research propositions. The solution design heuristic is illustrated using two examples from research conducted by a logistics research group active in the areas of electronic commerce and supply networks.",239644217,1,36,(missing PubMedId)
(missing DOI),Making SPI Happen: The Roads to Process Implementation,"A. Sandberg, L. Mathiassen",ECIS,2003,"Software Process Improvement (SPI) has been widely adopted by software organizations to enhance their capability to effectively deliver quality software. The approach has several positive merits. But many initiatives fail because the software processes are never adopted in practice. This paper offers a comparative analysis of the implementation strategies and outcomes of 18 SPI initiatives within Ericsson. The analysis draws upon concepts from the diffusion of innovations literature and leads to four different process implementation strategies – High Way, Country Road, Crossroads, and Dead End Street. These roads to software process implementation target different levels of practice and they rely on different mixtures of process push and practice pull. Our research suggests that the High Way with its combination of strong push and strong pull is the most promising road to implementation success, whereas the other roads imply serious barriers to success.",238366999,9,47,(missing PubMedId)
(missing DOI),The role of social awareness in technology acceptance of groupware in virtual learning,"Pernille Bjørn, Brian Fitzgerald, Ada Scupola",(missing journal),2002,"IT is everywhere and the need for Groupware support of collaborative learning between geographically distributed students working in teams arises. In this paper we focus on the technology acceptance of Groupware in virtual learning teams in part-time adult education. We apply Davis’ Technology Acceptance Model (TAM) in a qualitative fashion to analyze and interpret the chronological sequence of events leading to the acceptance of the Groupware technology. The data were gathered through an in-depth qualitative Action Research study of four virtual learning teams within two different Masters education programs. By extracting empirical date from one of these virtual teams we show that the TAM model can be used in a qualitative fashion to investigate Groupware technology acceptance. We find that the causal relationship between ease of use and perceived usefulness, postulated by the TAM model, is not present in the case of Groupware technology in a virtual learning team setting. Finally we also find that social awareness plays an important role in the acceptance of such technology to support collaboration.",238084611,15,31,(missing PubMedId)
(missing DOI),REFLECTING WITH THE DELONE & MCLEAN MODEL,(missing authors),(missing journal),(missing year),(missing abstract),237981893,3,37,(missing PubMedId)
(missing DOI),20 CULTIVATING RECALCITRANCE IN INFORMATION SYSTEMS RESEARCH,"Carsten Serensen, E. Whitley, S. Madon, D. Klyachko, I. Hosein, J. Johnstone",(missing journal),2012,"There is an ongoing debate about how to improve the quality of empirical research efforts in information systems. One of the persistent issues within the debate concerns the rela tive importance of social and technical aspects of an informa tion system and how to study these different elements. Contem porary research within science and technology studies suggests that social science inquiries can learnfrom empirical enquiries within the natural sciences through the notion of recalcitrance in experimental subjects. The aim of this article is to conduct an initial exploration of the usefolness of these ideas in the con text of empirical information systems research. The following three research methods are subjected to a first theoretical analysis: (1) longitudinal, interpretive case study; (2) quan titative case study; and (3) laboratory experiments. For each of the three methods, an example is studied together with reflec tions from the researchers conducting the particular study. It is concluded that although this does not represent a solution to all methodological problems, adopting the perspective of cultivating recalcitrance and designing research methods to",237289411,0,56,(missing PubMedId)
(missing DOI),Bringing Contextual Dimensions into Improvement of Information System Development Practices,"U. Seigerroth, M. Lind",Hawaii International Conference on System Sciences,2009,"Significant attention has been paid to the improvement of system development practices. There are theories and methods that are to be used for such improvement purposes. The criticism towards these theories and methods is that many of them have a narrow focus on the system development process, methods, and tools. Too little attention is paid to business orientation, organisational aspects and social factors. In this paper we present a framework that goes beyond this narrow focus in order to serve as a support for directing focus during improvement of system development practices. The development of the framework has been driven by experiences derived from four action research projects focusing on the improvement of system development practices. Generated categories from these experiences have been validated theoretically and internally through a multi-grounded theory development process in order to arrive at a practical theory.",236823455,1,42,(missing PubMedId)
(missing DOI),Utilizing systems development methods - a conceptual framework,"L. Vogelsang, F. Kensing",ECIS,2005,"There are not many frameworks of method utilization or use in organization based on empirical studies nor is there a common understanding of these issues. This paper investigates how systems development methods are utilized in practice and proposes a framework to conceive method utilization. The explanatory value of the framework is illustrated by providing an analysis of a case study. The framework highlights several issues of method utilization based on a three years long field study. The framework has two dimensions. The first dimension covers three levels in organizations at which methods can be utilized. They are the organizational level, the project level, and the individual level. The second dimension covers three aspect of utilization of the method that can take place at each level. The three aspects are adoption, adaptation, and use. Thereby the framework provides nine perspectives on method utilization that allow us to understand and guide method utilization in a broader sense than we have found in the literature, which primarily deals with a subset of the nine perspectives. Furthermore, the paper introduces a distinction between method use and method utilization to emphasize a broad view on method utilization. Method utilization includes adoption, adaptation, and use at different levels in development organizations. Method use is strictly defined as the use of methods for systems development.",236657539,4,17,(missing PubMedId)
